Name,Ticker,Party,Chamber,State,Buy Date,Sell Date
Daniel S. Goldman,LCID,Democrat,House,NY,2023-1-30,2023-6-28
Daniel S. Goldman,LHX,Democrat,House,NY,2023-1-30,2023-7-11
Daniel S. Goldman,LLY,Democrat,House,NY,2023-1-30,2023-2-2
Daniel S. Goldman,LMT,Democrat,House,NY,2023-1-30,2023-7-11
Daniel S. Goldman,LUMN,Democrat,House,NY,2023-4-9,2023-7-10
Daniel S. Goldman,LYG,Democrat,House,NY,2023-3-30,2023-7-9
Daniel S. Goldman,MDLZ,Democrat,House,NY,2023-1-30,2023-3-5
Daniel S. Goldman,MFG,Democrat,House,NY,2023-3-30,2023-7-9
Daniel S. Goldman,MKTX,Democrat,House,NY,2023-4-9,2023-7-11
Daniel S. Goldman,MMM,Democrat,House,NY,2023-3-5,2023-7-11
Daniel S. Goldman,MO,Democrat,House,NY,2023-1-30,2023-7-13
Daniel S. Goldman,MOH,Democrat,House,NY,2023-4-9,2023-7-11
Daniel S. Goldman,MOS,Democrat,House,NY,2023-2-28,2023-7-11
Daniel S. Goldman,MRK,Democrat,House,NY,2023-1-30,2023-7-13
Daniel S. Goldman,MRNA,Democrat,House,NY,2023-4-9,2023-7-11
Daniel S. Goldman,MTB,Democrat,House,NY,2023-1-30,2023-7-11
Daniel S. Goldman,NFG,Democrat,House,NY,2023-4-9,2023-6-28
Daniel S. Goldman,NGG,Democrat,House,NY,2023-2-26,2023-7-9
Daniel S. Goldman,NOC,Democrat,House,NY,2023-3-5,2023-7-18
Daniel S. Goldman,NOK,Democrat,House,NY,2023-2-26,2023-7-9
Daniel S. Goldman,NOV,Democrat,House,NY,2023-2-28,2023-4-9
Daniel S. Goldman,NTRA,Democrat,House,NY,2023-3-5,2023-4-9
Daniel S. Goldman,NVS,Democrat,House,NY,2023-3-30,2023-7-9
Daniel S. Goldman,NWG,Democrat,House,NY,2023-3-30,2023-7-9
Daniel S. Goldman,OGS,Democrat,House,NY,2023-4-9,2023-7-11
Daniel S. Goldman,OLPX,Democrat,House,NY,2023-4-9,2023-6-28
Daniel S. Goldman,PEG,Democrat,House,NY,2023-1-30,2023-3-5
Daniel S. Goldman,PFE,Democrat,House,NY,2023-3-5,2023-7-11
Daniel S. Goldman,PLUG,Democrat,House,NY,2023-1-30,2023-3-5
Daniel S. Goldman,PODD,Democrat,House,NY,2023-4-9,2023-7-11
Daniel S. Goldman,QS,Democrat,House,NY,2023-4-9,2023-6-28
Daniel S. Goldman,RELX,Democrat,House,NY,2023-2-26,2023-7-9
Daniel S. Goldman,RGA,Democrat,House,NY,2023-2-28,2023-4-9
Daniel S. Goldman,RIO,Democrat,House,NY,2023-2-26,2023-7-9
Daniel S. Goldman,RITM,Democrat,House,NY,2023-2-28,2023-4-9
Daniel S. Goldman,RIVN,Democrat,House,NY,2023-1-30,2023-3-5
Daniel S. Goldman,RJF,Democrat,House,NY,2023-1-30,2023-3-5
Daniel S. Goldman,RTO,Democrat,House,NY,2023-3-30,2023-7-9
Daniel S. Goldman,RTX,Democrat,House,NY,2023-3-5,2023-7-11
Daniel S. Goldman,SAN,Democrat,House,NY,2023-3-30,2023-7-9
Daniel S. Goldman,SBAC,Democrat,House,NY,2023-1-30,2023-7-11
Daniel S. Goldman,SBRA,Democrat,House,NY,2023-2-28,2023-4-9
Daniel S. Goldman,SCHW,Democrat,House,NY,2023-3-5,2023-7-11
Daniel S. Goldman,SE,Democrat,House,NY,2023-3-30,2023-7-9
Daniel S. Goldman,SLG,Democrat,House,NY,2023-2-28,2023-7-11
Daniel S. Goldman,SMFG,Democrat,House,NY,2023-3-30,2023-7-9
Daniel S. Goldman,SR,Democrat,House,NY,2023-1-30,2023-7-11
Daniel S. Goldman,SRPT,Democrat,House,NY,2023-3-5,2023-4-9
Daniel S. Goldman,STT,Democrat,House,NY,2023-3-5,2023-7-11
Daniel S. Goldman,SWX,Democrat,House,NY,2023-2-28,2023-4-9
Daniel S. Goldman,SYY,Democrat,House,NY,2023-1-30,2023-7-11
Daniel S. Goldman,TAK,Democrat,House,NY,2023-2-26,2023-7-9
Daniel S. Goldman,TAP,Democrat,House,NY,2023-2-28,2023-4-9
Daniel S. Goldman,TEAM,Democrat,House,NY,2023-1-30,2023-7-11
Daniel S. Goldman,TFX,Democrat,House,NY,2023-4-9,2023-7-11
Daniel S. Goldman,TMO,Democrat,House,NY,2023-3-5,2023-7-11
Daniel S. Goldman,TMUS,Democrat,House,NY,2023-6-8,2023-7-13
Daniel S. Goldman,TSN,Democrat,House,NY,2023-3-6,2023-7-13
Daniel S. Goldman,UAL,Democrat,House,NY,2023-1-30,2023-4-9
Daniel S. Goldman,UL,Democrat,House,NY,2023-1-12,2023-7-9
Daniel S. Goldman,UNM,Democrat,House,NY,2023-2-28,2023-4-9
Daniel S. Goldman,UPS,Democrat,House,NY,2023-3-5,2023-7-11
Daniel S. Goldman,URI,Democrat,House,NY,2023-1-30,2023-7-11
Daniel S. Goldman,USB,Democrat,House,NY,2023-1-30,2023-7-11
Daniel S. Goldman,VOD,Democrat,House,NY,2023-1-12,2023-7-9
Daniel S. Goldman,VTRS,Democrat,House,NY,2023-1-30,2023-4-9
Daniel S. Goldman,WPP,Democrat,House,NY,2023-3-30,2023-7-9
Daniel S. Goldman,X,Democrat,House,NY,2023-2-28,2023-4-9
Daniel S. Goldman,ZTS,Democrat,House,NY,2023-1-30,2023-7-13
David Kustoff,YOU,Republican,House,TN,2023-1-16,2023-11-5
Diana Harshbarger,ADBE,Republican,House,TN,2023-1-24,2023-2-9
Diana Harshbarger,META,Republican,House,TN,2023-1-24,2023-2-9
Doug Lamborn,NTAP,Republican,House,CO,2023-12-5,2024-7-23
Earl Blumenauer,CMCSA,Democrat,House,OR,2023-7-13,2024-11-20
Earl Blumenauer,PYPL,Democrat,House,OR,2023-2-6,2023-11-8
Earl Blumenauer,TGT,Democrat,House,OR,2024-9-25,2024-9-25
Gary Peters,IFF,Democrat,Senate,MI,2023-6-5,2024-5-13
Greg Landsman,AAPL,Democrat,House,OH,2023-6-5,2024-5-28
Greg Landsman,ADBE,Democrat,House,OH,2023-1-11,2024-8-13
Greg Landsman,ADI,Democrat,House,OH,2023-4-23,2023-5-29
Greg Landsman,AMP,Democrat,House,OH,2023-1-11,2023-4-23
Greg Landsman,AMZN,Democrat,House,OH,2024-4-11,2024-8-20
Greg Landsman,BLK,Democrat,House,OH,2023-1-11,2023-3-8
Greg Landsman,CDNS,Democrat,House,OH,2023-11-14,2024-4-11
Greg Landsman,CRM,Democrat,House,OH,2023-1-11,2023-10-17
Greg Landsman,FANG,Democrat,House,OH,2023-10-17,2024-9-9
Greg Landsman,GOOGL,Democrat,House,OH,2023-10-11,2024-5-28
Greg Landsman,ISRG,Democrat,House,OH,2023-1-31,2024-7-16
Greg Landsman,LLY,Democrat,House,OH,2023-1-17,2024-6-2
Greg Landsman,LNG,Democrat,House,OH,2023-9-18,2024-10-14
Greg Landsman,MSFT,Democrat,House,OH,2023-5-29,2024-5-28
Greg Landsman,NEE,Democrat,House,OH,2024-9-9,2024-10-14
Greg Landsman,NVDA,Democrat,House,OH,2023-1-11,2024-6-2
Greg Landsman,PH,Democrat,House,OH,2023-1-17,2023-5-3
Greg Landsman,REGN,Democrat,House,OH,2023-8-10,2024-10-14
Greg Landsman,UBER,Democrat,House,OH,2023-3-8,2024-5-14
Greg Landsman,ULTA,Democrat,House,OH,2024-5-28,2024-8-13
Greg Landsman,URI,Democrat,House,OH,2023-1-11,2024-6-19
Greg Stanton,AAPL,Democrat,House,AZ,2023-9-25,2023-10-23
Greg Stanton,ABBV,Democrat,House,AZ,2023-9-25,2023-10-23
Greg Stanton,ABT,Democrat,House,AZ,2023-9-25,2023-10-23
Greg Stanton,ACN,Democrat,House,AZ,2023-9-25,2023-10-23
Greg Stanton,ADBE,Democrat,House,AZ,2023-9-25,2023-10-23
Greg Stanton,ADI,Democrat,House,AZ,2023-9-25,2023-10-23
Greg Stanton,AMAT,Democrat,House,AZ,2023-9-25,2023-10-23
Greg Stanton,AMD,Democrat,House,AZ,2023-9-25,2023-10-23
Greg Stanton,AMGN,Democrat,House,AZ,2023-9-25,2023-10-23
Greg Stanton,AMZN,Democrat,House,AZ,2023-9-25,2023-10-23
Greg Stanton,AVGO,Democrat,House,AZ,2023-9-25,2023-10-23
Greg Stanton,AXON,Democrat,House,AZ,2023-9-25,2023-10-23
Greg Stanton,AXP,Democrat,House,AZ,2023-9-25,2023-10-23
Greg Stanton,BAC,Democrat,House,AZ,2023-9-25,2023-10-23
Greg Stanton,BALL,Democrat,House,AZ,2023-9-25,2023-10-23
Greg Stanton,BDX,Democrat,House,AZ,2023-9-25,2023-10-23
Greg Stanton,BLK,Democrat,House,AZ,2023-9-25,2023-10-23
Greg Stanton,BMY,Democrat,House,AZ,2023-9-25,2023-10-23
Greg Stanton,CAT,Democrat,House,AZ,2023-9-25,2023-10-23
Greg Stanton,CB,Democrat,House,AZ,2023-9-25,2023-10-23
Greg Stanton,CMCSA,Democrat,House,AZ,2023-9-25,2023-10-23
Greg Stanton,COP,Democrat,House,AZ,2023-9-25,2023-10-23
Greg Stanton,COST,Democrat,House,AZ,2023-9-25,2023-10-23
Greg Stanton,CRM,Democrat,House,AZ,2023-9-25,2023-10-23
Greg Stanton,CSCO,Democrat,House,AZ,2023-9-25,2023-10-23
Greg Stanton,CVX,Democrat,House,AZ,2023-9-25,2023-10-23
Greg Stanton,DE,Democrat,House,AZ,2023-9-25,2023-10-23
Greg Stanton,DHR,Democrat,House,AZ,2023-9-25,2023-10-23
Greg Stanton,DIS,Democrat,House,AZ,2023-9-25,2023-10-23
Greg Stanton,ELV,Democrat,House,AZ,2023-9-25,2023-10-23
Greg Stanton,GILD,Democrat,House,AZ,2023-9-25,2023-10-23
Greg Stanton,GOOGL,Democrat,House,AZ,2023-9-25,2023-10-23
Greg Stanton,GS,Democrat,House,AZ,2023-9-25,2023-10-23
Greg Stanton,HD,Democrat,House,AZ,2023-9-25,2023-10-23
Greg Stanton,IBM,Democrat,House,AZ,2023-9-25,2023-10-23
Greg Stanton,INTC,Democrat,House,AZ,2023-9-25,2023-10-23
Greg Stanton,INTU,Democrat,House,AZ,2023-9-25,2023-10-23
Greg Stanton,ISRG,Democrat,House,AZ,2023-9-25,2023-10-23
Greg Stanton,J,Democrat,House,AZ,2023-9-25,2023-10-23
Greg Stanton,JNJ,Democrat,House,AZ,2023-9-25,2023-10-23
Greg Stanton,JPM,Democrat,House,AZ,2023-9-25,2023-10-23
Greg Stanton,KO,Democrat,House,AZ,2023-9-25,2023-10-23
Greg Stanton,LIN,Democrat,House,AZ,2023-9-25,2023-10-23
Greg Stanton,LLY,Democrat,House,AZ,2023-9-25,2023-10-23
Greg Stanton,LOW,Democrat,House,AZ,2023-9-25,2023-10-23
Greg Stanton,LRCX,Democrat,House,AZ,2023-9-25,2023-10-23
Greg Stanton,MA,Democrat,House,AZ,2023-9-25,2023-10-23
Greg Stanton,MCD,Democrat,House,AZ,2023-9-25,2023-10-23
Greg Stanton,MDLZ,Democrat,House,AZ,2023-9-25,2023-10-23
Greg Stanton,MDT,Democrat,House,AZ,2023-9-25,2023-10-23
Greg Stanton,META,Democrat,House,AZ,2023-9-25,2023-10-23
Greg Stanton,MMC,Democrat,House,AZ,2023-9-25,2023-10-23
Greg Stanton,MRK,Democrat,House,AZ,2023-9-25,2023-10-23
Greg Stanton,MS,Democrat,House,AZ,2023-9-25,2023-10-23
Greg Stanton,MSFT,Democrat,House,AZ,2023-9-25,2023-10-23
Greg Stanton,NEE,Democrat,House,AZ,2023-9-25,2023-10-23
Greg Stanton,NFLX,Democrat,House,AZ,2023-9-25,2023-10-23
Greg Stanton,NKE,Democrat,House,AZ,2023-9-25,2023-10-23
Greg Stanton,NOW,Democrat,House,AZ,2023-9-25,2023-10-23
Greg Stanton,NVDA,Democrat,House,AZ,2023-9-25,2023-10-23
Greg Stanton,ORCL,Democrat,House,AZ,2023-9-25,2023-10-23
Greg Stanton,PEP,Democrat,House,AZ,2023-9-25,2023-10-23
Greg Stanton,PFE,Democrat,House,AZ,2023-9-25,2023-10-23
Greg Stanton,PG,Democrat,House,AZ,2023-9-25,2023-10-23
Greg Stanton,PGR,Democrat,House,AZ,2023-9-25,2023-10-23
Greg Stanton,PH,Democrat,House,AZ,2023-9-25,2023-10-23
Greg Stanton,PLD,Democrat,House,AZ,2023-9-25,2023-10-23
Greg Stanton,PM,Democrat,House,AZ,2023-9-25,2023-10-23
Greg Stanton,QCOM,Democrat,House,AZ,2023-9-25,2023-10-23
Greg Stanton,SBUX,Democrat,House,AZ,2023-9-25,2023-10-23
Greg Stanton,SPGI,Democrat,House,AZ,2023-9-25,2023-10-23
Greg Stanton,SYK,Democrat,House,AZ,2023-9-25,2023-10-23
Greg Stanton,T,Democrat,House,AZ,2023-9-25,2023-10-23
Greg Stanton,TDY,Democrat,House,AZ,2023-9-25,2023-10-23
Greg Stanton,TJX,Democrat,House,AZ,2023-9-25,2023-10-23
Greg Stanton,TMO,Democrat,House,AZ,2023-9-25,2023-10-23
Greg Stanton,TMUS,Democrat,House,AZ,2023-9-25,2023-10-23
Greg Stanton,TSLA,Democrat,House,AZ,2023-9-25,2023-10-23
Greg Stanton,TXN,Democrat,House,AZ,2023-9-25,2023-10-23
Greg Stanton,UNH,Democrat,House,AZ,2023-9-25,2023-10-23
Greg Stanton,UNP,Democrat,House,AZ,2023-9-25,2023-10-23
Greg Stanton,UPS,Democrat,House,AZ,2023-9-25,2023-10-23
Greg Stanton,V,Democrat,House,AZ,2023-9-25,2023-10-23
Greg Stanton,VRTX,Democrat,House,AZ,2023-9-25,2023-10-23
Greg Stanton,WFC,Democrat,House,AZ,2023-9-25,2023-10-23
Greg Stanton,WMT,Democrat,House,AZ,2023-9-25,2023-10-23
Greg Stanton,XOM,Democrat,House,AZ,2023-9-25,2023-10-23
Greg Stanton,ZTS,Democrat,House,AZ,2023-9-25,2023-10-23
Greg Steube,SNV,Republican,House,FL,2023-2-16,2024-3-27
Jared Moskowitz,AOS,Democrat,House,FL,2023-7-13,2024-11-7
Jared Moskowitz,CVX,Democrat,House,FL,2023-7-13,2024-11-7
Jared Moskowitz,DG,Democrat,House,FL,2023-2-20,2023-7-13
Jared Moskowitz,HRL,Democrat,House,FL,2023-2-20,2023-12-27
Jared Moskowitz,LOW,Democrat,House,FL,2023-7-13,2024-7-4
Jared Moskowitz,MA,Democrat,House,FL,2023-7-13,2024-7-4
Jared Moskowitz,MDLZ,Democrat,House,FL,2024-1-31,2024-7-4
Jared Moskowitz,MDT,Democrat,House,FL,2023-7-13,2023-12-27
Jared Moskowitz,NEE,Democrat,House,FL,2023-2-23,2024-2-12
Jared Moskowitz,NKE,Democrat,House,FL,2023-8-31,2024-1-31
Jared Moskowitz,PEG,Democrat,House,FL,2023-2-23,2023-4-13
Jared Moskowitz,PNC,Democrat,House,FL,2023-2-20,2024-7-4
Jared Moskowitz,SNA,Democrat,House,FL,2024-1-31,2024-7-4
Jared Moskowitz,SO,Democrat,House,FL,2023-7-13,2024-2-12
Jared Moskowitz,TGT,Democrat,House,FL,2023-7-13,2023-9-26
Jared Moskowitz,WEC,Democrat,House,FL,2023-7-13,2024-7-4
Jared Moskowitz,WM,Democrat,House,FL,2024-7-4,2024-7-4
Jared Moskowitz,WST,Democrat,House,FL,2023-12-27,2024-11-7
Jared Moskowitz,XOM,Democrat,House,FL,2023-7-13,2024-11-7
Jared Moskowitz,ZTS,Democrat,House,FL,2023-12-27,2024-7-4
John Boozman,AES,Republican,Senate,AR,2023-3-9,2023-10-4
John Boozman,AMAT,Republican,Senate,AR,2024-3-27,2024-12-22
John Boozman,SWKS,Republican,Senate,AR,2023-6-28,2024-11-19
John Curtis,ABT,Republican,House,UT,2023-9-12,2023-12-3
John Curtis,CSX,Republican,House,UT,2023-4-25,2023-12-3
John Curtis,ELV,Republican,House,UT,2023-4-25,2023-12-3
John Curtis,EMR,Republican,House,UT,2023-9-12,2023-12-3
John Curtis,EW,Republican,House,UT,2023-4-25,2023-12-3
John Curtis,KO,Republican,House,UT,2023-6-20,2023-12-3
John Curtis,LLY,Republican,House,UT,2023-9-12,2023-12-3
John Curtis,PANW,Republican,House,UT,2023-9-12,2023-12-3
John Curtis,SHW,Republican,House,UT,2023-6-20,2023-12-3
John Curtis,TMUS,Republican,House,UT,2023-6-20,2023-12-3
John Curtis,VLO,Republican,House,UT,2023-6-20,2023-12-3
John Fetterman,ADSK,Democrat,Senate,PA,2023-11-19,2024-10-16
John Fetterman,CNXC,Democrat,Senate,PA,2023-8-31,2024-7-18
John Fetterman,DUK,Democrat,Senate,PA,2023-5-3,2023-11-26
John Fetterman,FHN,Democrat,Senate,PA,2023-11-19,2024-10-14
John Fetterman,GE,Democrat,Senate,PA,2023-5-10,2023-9-14
John Fetterman,KD,Democrat,Senate,PA,2023-5-3,2024-10-24
John Hickenlooper,BATRA,Democrat,Senate,CO,2024-8-27,2024-8-29
John Hickenlooper,FWONK,Democrat,Senate,CO,2023-3-7,2024-6-2
John James,AAPL,Republican,House,MI,2023-11-9,2024-9-3
John James,ABBV,Republican,House,MI,2023-11-9,2024-9-3
John James,ABT,Republican,House,MI,2023-11-9,2024-9-3
John James,ACN,Republican,House,MI,2023-11-9,2024-9-3
John James,ADI,Republican,House,MI,2023-11-9,2024-9-3
John James,ADP,Republican,House,MI,2023-11-9,2024-9-3
John James,AEP,Republican,House,MI,2023-11-9,2024-9-3
John James,AMAT,Republican,House,MI,2023-11-9,2024-9-3
John James,AMD,Republican,House,MI,2023-11-9,2024-9-3
John James,AMZN,Republican,House,MI,2023-11-9,2024-9-3
John James,APD,Republican,House,MI,2024-5-28,2024-9-3
John James,APTV,Republican,House,MI,2023-11-9,2024-9-3
John James,AVGO,Republican,House,MI,2023-11-9,2024-9-3
John James,AVTR,Republican,House,MI,2023-11-9,2024-9-3
John James,AXP,Republican,House,MI,2023-11-9,2024-6-2
John James,AXTA,Republican,House,MI,2023-11-9,2024-5-5
John James,BAC,Republican,House,MI,2023-11-9,2024-9-3
John James,BDX,Republican,House,MI,2023-11-9,2024-9-3
John James,BLK,Republican,House,MI,2023-11-9,2024-9-3
John James,BMY,Republican,House,MI,2023-11-9,2024-1-17
John James,BP,Republican,House,MI,2023-11-15,2024-9-3
John James,CAH,Republican,House,MI,2024-5-1,2024-9-3
John James,CAT,Republican,House,MI,2023-11-9,2024-2-4
John James,CB,Republican,House,MI,2023-11-9,2024-9-3
John James,CCI,Republican,House,MI,2024-5-1,2024-9-3
John James,CIEN,Republican,House,MI,2023-11-9,2024-9-3
John James,CMCSA,Republican,House,MI,2023-11-9,2024-9-3
John James,CME,Republican,House,MI,2023-11-9,2024-9-3
John James,CMI,Republican,House,MI,2023-11-9,2024-9-3
John James,COP,Republican,House,MI,2023-11-9,2024-9-3
John James,CSCO,Republican,House,MI,2023-11-9,2024-9-3
John James,CTSH,Republican,House,MI,2023-11-9,2024-9-3
John James,CTVA,Republican,House,MI,2023-11-9,2024-9-3
John James,CVX,Republican,House,MI,2023-11-9,2024-9-3
John James,DEO,Republican,House,MI,2024-3-4,2024-9-3
John James,DFS,Republican,House,MI,2024-7-17,2024-9-3
John James,DG,Republican,House,MI,2023-11-9,2024-6-2
John James,DLTR,Republican,House,MI,2023-11-9,2024-9-3
John James,EA,Republican,House,MI,2024-2-22,2024-9-3
John James,ELV,Republican,House,MI,2023-11-15,2024-9-3
John James,EOG,Republican,House,MI,2023-11-9,2024-9-3
John James,ETR,Republican,House,MI,2023-11-9,2024-9-3
John James,FNF,Republican,House,MI,2024-5-14,2024-9-3
John James,FOXA,Republican,House,MI,2023-11-9,2023-12-21
John James,FTV,Republican,House,MI,2023-11-9,2024-9-3
John James,GOOGL,Republican,House,MI,2023-11-9,2024-9-3
John James,HD,Republican,House,MI,2023-11-9,2024-9-3
John James,HON,Republican,House,MI,2023-11-9,2024-9-3
John James,HUM,Republican,House,MI,2023-11-9,2024-9-3
John James,IBM,Republican,House,MI,2023-11-9,2024-9-3
John James,ICE,Republican,House,MI,2023-11-9,2024-9-3
John James,ICLR,Republican,House,MI,2024-6-11,2024-9-3
John James,ITW,Republican,House,MI,2023-11-9,2024-9-3
John James,JNJ,Republican,House,MI,2023-11-9,2024-9-3
John James,JPM,Republican,House,MI,2023-11-9,2024-9-3
John James,KLAC,Republican,House,MI,2023-11-9,2024-9-3
John James,KO,Republican,House,MI,2023-11-9,2024-9-3
John James,LH,Republican,House,MI,2023-11-9,2024-3-5
John James,LIN,Republican,House,MI,2023-11-9,2024-9-3
John James,LMT,Republican,House,MI,2023-11-9,2024-9-3
John James,LPLA,Republican,House,MI,2023-11-9,2024-7-17
John James,LRCX,Republican,House,MI,2023-11-9,2024-9-3
John James,MCD,Republican,House,MI,2023-11-9,2024-9-3
