,precision,recall,f1-score,support
0,0.6756756756756757,0.8620689655172413,0.7575757575757576,174.0
1,0.52,0.2653061224489796,0.35135135135135137,98.0
accuracy,0.6470588235294118,0.6470588235294118,0.6470588235294118,0.6470588235294118
macro avg,0.5978378378378378,0.5636875439831105,0.5544635544635544,272.0
weighted avg,0.6195866454689983,0.6470588235294118,0.6112154935684347,272.0
