Name,Party,Chamber,State,Ticker,Date,Buy,Sell
Marjorie Taylor Greene,Republican,House,GA,N/A,2025-3-19,True,False
Bill Keating,Democrat,House,MA,BAC,2025-3-5,True,False
Bill Keating,Democrat,House,MA,BJ,2025-3-2,False,True
Bill Keating,Democrat,House,MA,GS,2025-2-27,True,False
Bill Keating,Democrat,House,MA,JPM,2025-3-5,True,False
Ashley Moody,Republican,Senate,FL,LLY,2025-3-5,True,False
Ashley Moody,Republican,Senate,FL,N/A,2025-2-23,False,True
Ashley Moody,Republican,Senate,FL,CCL,2025-2-23,False,True
Ashley Moody,Republican,Senate,FL,N/A,2025-2-23,False,True
Ashley Moody,Republican,Senate,FL,AMD,2025-2-23,True,False
Ashley Moody,Republican,Senate,FL,SMCI,2025-2-23,False,True
Ashley Moody,Republican,Senate,FL,SMCI,2025-2-23,False,True
Ashley Moody,Republican,Senate,,HWM,2025-2-23,False,True
Ashley Moody,Republican,Senate,,AMAT,2025-2-23,False,True
Ashley Moody,Republican,Senate,,N/A,2025-2-23,False,True
Ashley Moody,Republican,Senate,,N/A,2025-2-23,False,True
Ashley Moody,Republican,Senate,,N/A,2025-2-23,False,True
Ashley Moody,Republican,Senate,,NCLH,2025-2-23,False,True
Ashley Moody,Republican,Senate,,NCLH,2025-2-23,False,True
Ashley Moody,Republican,Senate,,N/A,2025-2-23,False,True
Ashley Moody,Republican,Senate,,N/A,2025-2-23,False,True
Ashley Moody,Republican,Senate,,N/A,2025-2-23,False,True
Ashley Moody,Republican,Senate,,N/A,2025-2-23,False,True
Ashley Moody,Republican,Senate,,N/A,2025-2-23,False,True
Ashley Moody,Republican,Senate,,N/A,2025-2-23,True,False
Ashley Moody,Republican,Senate,,N/A,2025-2-23,True,False
Ashley Moody,Republican,Senate,,N/A,2025-2-19,False,True
Ashley Moody,Republican,Senate,,N/A,2025-2-19,False,True
Ashley Moody,Republican,Senate,,N/A,2025-2-19,False,True
John Delaney,Democrat,House,MD,AOS,2025-2-17,False,True
John Delaney,Democrat,House,MD,BRO,2025-2-9,False,True
John Delaney,Democrat,House,MD,BRO,2025-2-4,False,True
John Delaney,Democrat,House,MD,BRO,2025-2-5,False,True
John Delaney,Democrat,House,MD,CACI,2025-2-21,False,True
John Delaney,Democrat,House,MD,CACI,2025-2-17,False,True
John Delaney,Democrat,House,MD,CACI,2025-2-26,True,False
John Delaney,Democrat,House,MD,CDW,2025-2-5,True,False
John Delaney,Democrat,House,MD,CLH,2025-2-9,False,True
John Delaney,Democrat,House,MD,CLH,2025-2-6,False,True
John Delaney,Democrat,House,MD,CNM,2025-2-7,True,False
John Delaney,Democrat,House,MD,FLT,2025-2-21,True,False
John Delaney,Democrat,House,MD,FLT,2025-2-5,True,False
John Delaney,Democrat,House,MD,FLT,2025-2-27,True,False
John Delaney,Democrat,House,MD,ENTG,2025-2-16,True,False
John Delaney,Democrat,House,MD,FBIN,2025-2-16,True,False
John Delaney,Democrat,House,MD,FBIN,2025-2-7,True,False
John Delaney,Democrat,House,MD,LH,2025-2-7,True,False
John Delaney,Democrat,House,MD,LH,2025-2-16,True,False
John Delaney,Democrat,House,MD,LH,2025-2-26,True,False
John Delaney,Democrat,House,MD,LH,2025-2-27,True,False
John Delaney,Democrat,House,MD,LH,2025-2-4,True,False
John Delaney,Democrat,House,MD,LYV,2025-2-13,False,True
John Delaney,Democrat,House,MD,PAYX,2025-2-4,True,False
John Delaney,Democrat,House,MD,PAYX,2025-2-26,True,False
John Delaney,Democrat,House,MD,PAYX,2025-2-20,True,False
John Delaney,Democrat,House,MD,PAYX,2025-2-8,True,False
John Delaney,Democrat,House,MD,RVTY,2025-2-27,False,True
John Delaney,Democrat,House,MD,TDY,2025-2-21,False,True
John Delaney,Democrat,House,MD,TPX,2025-2-21,False,True
John Delaney,Democrat,House,MD,TPX,2025-2-27,False,True
John Delaney,Democrat,House,MD,TPX,2025-2-20,False,True
