Name,Party,Chamber,State,Ticker,Date,Buy,Sell
Daniel S. Goldman,Democrat,House,NY,LSRCY,2023-7-9,False,True
Daniel S. Goldman,Democrat,House,NY,N/A,2023-7-10,False,True
Daniel S. Goldman,Democrat,House,NY,LGRDY,2023-7-9,False,True
Daniel S. Goldman,Democrat,House,NY,LBYAV,2023-7-11,False,True
Daniel S. Goldman,Democrat,House,NY,LBYAV,2023-7-11,False,True
Daniel S. Goldman,Democrat,House,NY,LSI,2023-7-11,False,True
Daniel S. Goldman,Democrat,House,NY,JSGRY,2023-7-9,False,True
Daniel S. Goldman,Democrat,House,NY,LYG,2023-7-9,False,True
Daniel S. Goldman,Democrat,House,NY,LMT,2023-7-11,False,True
Daniel S. Goldman,Democrat,House,NY,N/A,2023-7-10,False,True
Daniel S. Goldman,Democrat,House,NY,LOGI,2023-7-9,False,True
Daniel S. Goldman,Democrat,House,NY,LZAGY,2023-7-9,False,True
Daniel S. Goldman,Democrat,House,NY,LRLCY,2023-7-9,False,True
Daniel S. Goldman,Democrat,House,NY,LCID,2023-6-28,False,True
Daniel S. Goldman,Democrat,House,NY,LUMN,2023-7-10,False,True
Daniel S. Goldman,Democrat,House,NY,LVMHF,2023-7-9,False,True
Daniel S. Goldman,Democrat,House,NY,LVMHF,2023-7-11,False,True
Daniel S. Goldman,Democrat,House,NY,MTB,2023-7-11,False,True
Daniel S. Goldman,Democrat,House,NY,MTHRY,2023-7-9,False,True
Daniel S. Goldman,Democrat,House,NY,MQBKY,2023-7-9,False,True
Daniel S. Goldman,Democrat,House,NY,MKTAY,2023-7-9,False,True
Daniel S. Goldman,Democrat,House,NY,MKTX,2023-7-11,False,True
Daniel S. Goldman,Democrat,House,NY,MZDAY,2023-7-9,False,True
Daniel S. Goldman,Democrat,House,NY,MDIBY,2023-7-9,False,True
Daniel S. Goldman,Democrat,House,NY,MELI,2023-7-9,False,True
Daniel S. Goldman,Democrat,House,NY,MELI,2023-7-11,False,True
Daniel S. Goldman,Democrat,House,NY,MBGYY,2023-7-9,False,True
Daniel S. Goldman,Democrat,House,NY,MRK,2023-7-13,False,True
Daniel S. Goldman,Democrat,House,NY,MRK,2023-7-11,False,True
Daniel S. Goldman,Democrat,House,NY,MKKGY,2023-7-9,False,True
Daniel S. Goldman,Democrat,House,NY,MGDDY,2023-7-9,False,True
Daniel S. Goldman,Democrat,House,NY,MAA,2023-7-11,False,True
Daniel S. Goldman,Democrat,House,NY,MSSMY,2023-7-9,False,True
Daniel S. Goldman,Democrat,House,NY,MIELY,2023-7-9,False,True
Daniel S. Goldman,Democrat,House,NY,MUFG,2023-7-9,False,True
Daniel S. Goldman,Democrat,House,NY,MTSFY,2023-7-9,False,True
Daniel S. Goldman,Democrat,House,NY,MSLOY,2023-7-9,False,True
