Name,Party,Chamber,State,Ticker,Date,Buy,Sell
John James,Republican,House,MI,BAC,2024-9-3,False,True
John James,Republican,House,MI,BDX,2024-9-3,False,True
John James,Republican,House,MI,BRK/B,2024-9-3,False,True
John James,Republican,House,MI,BLK,2024-9-3,False,True
John James,Republican,House,MI,BX,2024-9-3,False,True
John James,Republican,House,MI,BAH,2024-9-3,False,True
John James,Republican,House,MI,BP,2024-9-3,False,True
John James,Republican,House,MI,AVGO,2024-9-3,False,True
John James,Republican,House,MI,CAH,2024-9-3,False,True
John James,Republican,House,MI,CDW,2024-9-3,False,True
John James,Republican,House,MI,CVX,2024-9-3,False,True
John James,Republican,House,MI,CB,2024-9-3,False,True
John James,Republican,House,MI,CIEN,2024-9-3,False,True
John James,Republican,House,MI,CSCO,2024-9-3,False,True
John James,Republican,House,MI,CME,2024-9-3,False,True
John James,Republican,House,MI,KO,2024-9-3,False,True
John James,Republican,House,MI,CTSH,2024-9-3,False,True
John James,Republican,House,MI,CMCSA,2024-9-3,False,True
John James,Republican,House,MI,COP,2024-9-3,False,True
John James,Republican,House,MI,CTVA,2024-9-3,False,True
John James,Republican,House,MI,CCI,2024-9-3,False,True
John James,Republican,House,MI,CMI,2024-9-3,False,True
John James,Republican,House,MI,DEO,2024-9-3,False,True
John James,Republican,House,MI,DFS,2024-9-3,False,True
John James,Republican,House,MI,DLTR,2024-9-3,False,True
John James,Republican,House,MI,DNB,2024-9-3,False,True
John James,Republican,House,MI,EBAY,2024-9-3,False,True
John James,Republican,House,MI,EA,2024-9-3,False,True
John James,Republican,House,MI,ELV,2024-9-3,False,True
John James,Republican,House,MI,ETR,2024-9-3,False,True
John James,Republican,House,MI,EOG,2024-9-3,False,True
John James,Republican,House,MI,XOM,2024-9-3,False,True
John James,Republican,House,MI,FNF,2024-9-3,False,True
John James,Republican,House,MI,FTV,2024-9-3,False,True
John James,Republican,House,MI,GIS,2024-9-3,False,True
John James,Republican,House,MI,GPC,2024-9-3,False,True
John James,Republican,House,MI,HD,2024-9-3,False,True
John James,Republican,House,MI,HON,2024-9-3,False,True
John James,Republican,House,MI,HUM,2024-9-3,False,True
John James,Republican,House,MI,ICLR,2024-9-3,False,True
John James,Republican,House,MI,ITW,2024-9-3,False,True
John James,Republican,House,MI,ICE,2024-9-3,False,True
John James,Republican,House,MI,IBM,2024-9-3,False,True
John James,Republican,House,MI,JNJ,2024-9-3,False,True
John James,Republican,House,MI,JPM,2024-9-3,False,True
John James,Republican,House,MI,KLAC,2024-9-3,False,True
John James,Republican,House,MI,LRCX,2024-9-3,False,True
John James,Republican,House,MI,LIN,2024-9-3,False,True
John James,Republican,House,MI,LMT,2024-9-3,False,True
John James,Republican,House,MI,MMC,2024-9-3,False,True
John James,Republican,House,MI,MRVL,2024-9-3,False,True
John James,Republican,House,MI,MCD,2024-9-3,False,True
John James,Republican,House,MI,MDT,2024-9-3,False,True
John James,Republican,House,MI,MRK,2024-9-3,False,True
John James,Republican,House,MI,META,2024-9-3,False,True
John James,Republican,House,MI,MCHP,2024-9-3,False,True
John James,Republican,House,MI,MU,2024-9-3,False,True
John James,Republican,House,MI,MSFT,2024-9-3,False,True
John James,Republican,House,MI,MDLZ,2024-9-3,False,True
John James,Republican,House,MI,MS,2024-9-3,False,True
John James,Republican,House,MI,NEE,2024-9-3,False,True
John James,Republican,House,MI,NOC,2024-9-3,False,True
John James,Republican,House,MI,NVO,2024-9-3,False,True
John James,Republican,House,MI,NVDA,2024-9-3,False,True
John James,Republican,House,MI,OTIS,2024-9-3,False,True
John James,Republican,House,MI,PKG,2024-9-3,False,True
John James,Republican,House,MI,PH,2024-9-3,False,True
John James,Republican,House,MI,PEP,2024-9-3,False,True
John James,Republican,House,MI,PNC,2024-9-3,False,True
John James,Republican,House,MI,PPG,2024-9-3,False,True
John James,Republican,House,MI,PG,2024-9-3,False,True
John James,Republican,House,MI,PLD,2024-9-3,False,True
John James,Republican,House,MI,PEG,2024-9-3,False,True
John James,Republican,House,MI,PSA,2024-9-3,False,True
John James,Republican,House,MI,RGA,2024-9-3,False,True
John James,Republican,House,MI,ROST,2024-8-27,False,True
John James,Republican,House,MI,RTX,2024-9-3,False,True
John James,Republican,House,MI,SNY,2024-9-3,False,True
John James,Republican,House,MI,SHEL,2024-9-3,False,True
John James,Republican,House,MI,SKX,2024-9-3,False,True
John James,Republican,House,MI,SONY,2024-9-3,False,True
John James,Republican,House,MI,SO,2024-9-3,False,True
John James,Republican,House,MI,THC,2024-9-3,False,True
John James,Republican,House,MI,TXN,2024-9-3,False,True
John James,Republican,House,MI,BK,2024-9-3,False,True
John James,Republican,House,MI,TMO,2024-9-3,False,True
John James,Republican,House,MI,TJX,2024-9-3,False,True
John James,Republican,House,MI,TJX,2024-4-24,True,False
John James,Republican,House,MI,WWE,2024-9-3,False,True
John James,Republican,House,MI,TT,2024-9-3,False,True
John James,Republican,House,MI,UBER,2024-9-3,False,True
John James,Republican,House,MI,UBER,2024-8-27,True,False
John James,Republican,House,MI,UNP,2024-9-3,False,True
John James,Republican,House,MI,UPS,2024-8-27,False,True
John James,Republican,House,MI,UNH,2024-9-3,False,True
John James,Republican,House,MI,VLO,2024-9-3,False,True
John James,Republican,House,MI,V,2024-9-3,False,True
John James,Republican,House,MI,WMT,2024-9-3,False,True
John James,Republican,House,MI,DIS,2024-9-3,False,True
John James,Republican,House,MI,WM,2024-9-3,False,True
John James,Republican,House,MI,WEC,2024-9-3,False,True
John James,Republican,House,MI,WFC,2024-9-3,False,True
John James,Republican,House,MI,WAB,2024-9-3,False,True
John James,Republican,House,MI,ZBRA,2024-9-3,False,True
Lance Gooden,Republican,House,TX,MRO,2024-7-22,False,True
Lance Gooden,Republican,House,TX,N/A,2024-7-22,False,True
Suzan DelBene,Democrat,House,WA,N/A,2024-8-28,False,True
Suzan DelBene,Democrat,House,WA,MSFT,2024-8-30,False,True
Suzan DelBene,Democrat,House,WA,N/A,2024-8-22,True,False
Suzan DelBene,Democrat,House,WA,N/A,2024-8-28,True,False
Earl Blumenauer,Democrat,House,OR,NWN,2024-8-14,True,False
Earl Blumenauer,Democrat,House,OR,N/A,2024-8-28,True,False
Chellie Pingree,Democrat,House,ME,N/A,2024-8-8,True,False
Debbie Wasserman Schultz,Democrat,House,FL,HL,2024-8-8,True,False
Eleanor Holmes Norton,Democrat,House,WA,BRK/B,2024-8-26,False,True
John Hickenlooper,Democrat,Senate,CO,N/A,2024-7-24,True,False
Shelley Moore Capito,Republican,Senate,WV,NKE,2024-8-27,True,False
Shelley Moore Capito,Republican,Senate,WV,AVGO,2024-8-26,True,False
Shelley Moore Capito,Republican,Senate,WV,NSC,2024-8-21,False,True
Marjorie Taylor Greene,Republican,House,GA,GOOGL,2024-9-2,True,False
Marjorie Taylor Greene,Republican,House,GA,AMZN,2024-9-2,True,False
Marjorie Taylor Greene,Republican,House,GA,AAPL,2024-9-2,True,False
Marjorie Taylor Greene,Republican,House,GA,SCHW,2024-9-2,True,False
Marjorie Taylor Greene,Republican,House,GA,GLW,2024-9-2,True,False
Marjorie Taylor Greene,Republican,House,GA,N/A,2024-9-2,True,False
Marjorie Taylor Greene,Republican,House,GA,DLR,2024-9-2,True,False
Marjorie Taylor Greene,Republican,House,GA,GSK,2024-9-2,True,False
Marjorie Taylor Greene,Republican,House,GA,LULU,2024-9-2,True,False
Marjorie Taylor Greene,Republican,House,GA,NVDA,2024-9-2,True,False
Marjorie Taylor Greene,Republican,House,GA,PANW,2024-9-2,True,False
Marjorie Taylor Greene,Republican,House,GA,QCOM,2024-9-2,True,False
Marjorie Taylor Greene,Republican,House,GA,TSLA,2024-9-2,True,False
Marjorie Taylor Greene,Republican,House,GA,UPS,2024-9-2,True,False
Kathy Manning,Democrat,House,NC,PFE,2024-8-8,False,True
Kathy Manning,Democrat,House,NC,N/A,2024-8-28,True,False
Kathy Manning,Democrat,House,NC,N/A,2024-8-7,True,False
Kathy Manning,Democrat,House,NC,N/A,2024-8-7,True,False
Kathy Manning,Democrat,House,NC,SBUX,2024-8-8,False,True
Virginia Foxx,Republican,House,NC,ARLP,2024-8-13,True,False
Virginia Foxx,Republican,House,NC,T,2024-7-31,True,False
Virginia Foxx,Republican,House,NC,ET,2024-8-18,True,False
Virginia Foxx,Republican,House,NC,HTGC,2024-8-19,True,False
Sheldon Whitehouse,Democrat,Senate,RI,SNOW,2024-8-14,False,True
Morgan McGarvey,Democrat,House,KY,DAL,2024-7-22,False,True
Mike Kelly,Republican,House,PA,N/A,2024-8-7,True,False
Mike Kelly,Republican,House,PA,N/A,2024-8-27,True,False
