Name,Party,Chamber,State,Ticker,Date,Buy,Sell
Michael McCaul,Republican,House,TX,MNST,2022-12-15,False,True
Michael McCaul,Republican,House,TX,N/A,2022-12-15,False,True
Michael McCaul,Republican,House,TX,PYPL,2022-12-15,False,True
Michael McCaul,Republican,House,TX,IJR,2022-12-13,False,True
Michael McCaul,Republican,House,TX,MA,2022-12-15,False,True
Michael McCaul,Republican,House,TX,ADP,2022-12-15,False,True
Michael McCaul,Republican,House,TX,BSX,2022-12-15,False,True
Michael McCaul,Republican,House,TX,ADBE,2022-12-15,False,True
Michael McCaul,Republican,House,TX,INTU,2022-12-15,False,True
Michael McCaul,Republican,House,TX,FI,2022-12-15,False,True
Michael McCaul,Republican,House,TX,ACN,2022-12-15,False,True
Michael McCaul,Republican,House,TX,MS,2022-12-13,False,True
Michael McCaul,Republican,House,TX,EPAM,2022-12-15,False,True
Michael McCaul,Republican,House,TX,SAFRY,2022-12-13,False,True
Michael McCaul,Republican,House,TX,LBRDA,2022-12-13,False,True
Michael McCaul,Republican,House,TX,FLT,2022-12-15,False,True
Michael McCaul,Republican,House,TX,VWLUX,2022-12-13,False,True
Michael McCaul,Republican,House,TX,NBIX,2022-12-15,False,True
Michael McCaul,Republican,House,TX,AMZN,2022-12-15,False,True
Michael McCaul,Republican,House,TX,CMCSA,2022-12-13,False,True
Michael McCaul,Republican,House,TX,C,2022-12-13,False,True
Michael McCaul,Republican,House,TX,N/A,2022-12-18,False,True
Michael McCaul,Republican,House,TX,META,2022-12-13,False,True
Michael McCaul,Republican,House,TX,SHEL,2022-12-13,False,True
Michael McCaul,Republican,House,TX,GE,2022-12-13,False,True
Michael McCaul,Republican,House,TX,AMZN,2022-12-13,False,True
Michael McCaul,Republican,House,TX,N/A,2022-12-29,False,True
Michael McCaul,Republican,House,TX,GOOGL,2022-12-15,False,True
Michael McCaul,Republican,House,TX,GS,2022-12-13,False,True
Michael McCaul,Republican,House,TX,VWLUX,2022-12-13,False,True
Michael McCaul,Republican,House,TX,V,2022-12-15,False,True
Michael McCaul,Republican,House,TX,N/A,2022-12-18,False,True
Michael McCaul,Republican,House,TX,N/A,2022-12-18,False,True
Michael McCaul,Republican,House,TX,NFLX,2022-12-13,False,True
Michael McCaul,Republican,House,TX,KDP,2022-12-14,False,True
Michael McCaul,Republican,House,TX,MSFT,2022-12-15,False,True
Michael McCaul,Republican,House,TX,BSX,2022-12-6,False,True
Michael McCaul,Republican,House,TX,VOO,2022-12-13,False,True
Michael McCaul,Republican,House,TX,AON,2022-12-14,False,True
Michael McCaul,Republican,House,TX,MAR,2022-12-1,False,True
Michael McCaul,Republican,House,TX,IJR,2022-12-13,False,True
Michael McCaul,Republican,House,TX,SCHW,2022-12-4,False,True
Michael McCaul,Republican,House,TX,HLT,2022-11-30,False,True
Michael McCaul,Republican,House,TX,SCHW,2022-12-14,False,True
Michael McCaul,Republican,House,TX,ORLY,2022-12-14,False,True
Michael McCaul,Republican,House,TX,AON,2022-12-12,False,True
Michael McCaul,Republican,House,TX,N/A,2022-12-14,False,True
Michael McCaul,Republican,House,TX,N/A,2022-12-15,False,True
Michael McCaul,Republican,House,TX,N/A,2022-11-30,False,True
Michael McCaul,Republican,House,TX,N/A,2022-11-30,False,True
Michael McCaul,Republican,House,TX,KDP,2022-12-19,False,True
Michael McCaul,Republican,House,TX,N/A,2022-11-30,False,True
Michael McCaul,Republican,House,TX,N/A,2022-11-30,False,True
Michael McCaul,Republican,House,TX,N/A,2022-12-18,False,True
Michael McCaul,Republican,House,TX,VOO,2022-12-13,False,True
Michael McCaul,Republican,House,TX,N/A,2022-12-18,True,False
Michael McCaul,Republican,House,TX,N/A,2022-12-27,True,False
Michael McCaul,Republican,House,TX,INTC,2022-12-13,True,False
Michael McCaul,Republican,House,TX,FDX,2022-12-26,True,False
Michael McCaul,Republican,House,TX,FIS,2022-12-1,True,False
Michael McCaul,Republican,House,TX,FIS,2022-11-30,True,False
Michael McCaul,Republican,House,TX,AAP,2022-12-4,True,False
Michael McCaul,Republican,House,TX,WBD,2022-12-13,True,False
Michael McCaul,Republican,House,TX,WBD,2022-12-14,True,False
Michael McCaul,Republican,House,TX,WBD,2022-12-15,True,False
Michael McCaul,Republican,House,TX,AAP,2022-12-5,True,False
Michael McCaul,Republican,House,TX,NWL,2022-12-4,False,True
Michael McCaul,Republican,House,TX,NWL,2022-12-22,False,True
Michael McCaul,Republican,House,TX,NWL,2022-12-27,False,True
