Ticker
ADP
FMST
RF
EQX
LRE
NEE
MULN
BIOX
CANG
BIPH
COOK
COLAR
GLPI
FMX
UBXG
AYTU
LPTH
TSSI
MRBK
TKC
MP
SYTAW
RJF
NSTS
AFBI
FRO
ZEPP
FTDR
AUROW
TAP
FSV
GENI
GEO
SF
DPZ
TPH
GECC
DEC
MRVI
HESM
NSP
DAVEW
MARPS
OPY
VCYT
PWP
ATEN
CMCO
BKH
RBCAA
RVTY
NI
NCSM
CADE
IMAX
GDV
SFD
FTS
NPO
AVNS
NVVEW
MVST
BCAL
PZZA
ETY
PEGA
ENOV
PLNT
CHSCN
CERS
DRTS
ALLY
MKDWW
PIM
WIA
LOT
SXT
BANFP
RVPHW
BLNE
HSPT
POWI
BK
NHS
BFS
BWXT
PODC
SWAG
ASIX
SVT
COOP
ATMU
NOEMW
PCTTU
KKRS
KEX
ENLV
MDU
STEP
VPV
CARE
CREVW
RDNT
EQH
MDT
TSE
ZIM
RLTY
IAG
BBWI
FCT
CEROW
ALNT
TC
RFAI
TU
ABCL
QVCGP
SAIC
WTFCM
RGP
BDL
AIRTP
NGG
SELF
VALU
BOE
TRVG
CCLDO
ADTN
YYGH
CUBWW
HLI
BUI
CNX
COCH
EUDA
CRGX
CBL
FIVN
VOC
GMED
NRSNW
YORW
INTZ
AKAM
GRPN
OCFT
USAU
SOJC
BHK
NRC
COE
MI
QUBT
NBTX
JZ
PTIX
WLYB
TRS
CLAR
TK
GNSS
RGS
ABUS
CAT
WWW
IAC
CSV
CLEU
ENTO
IIPR
SNY
ONBPO
BLDP
HUM
RMT
CHY
MYFW
ASO
WK
MCR
YOTAW
USFD
DASH
PCOR
DCOMP
COOT
HOPE
EBMT
ELMD
NXDT
OIS
GLPG
MYTE
PEBK
NVNI
MO
AFMD
ZIMV
WCT
SIM
POR
MOH
STC
GTLS
SEMR
BCS
LICN
BARK
IBOC
LFST
NECB
TPST
IART
MNDY
RLYB
EFX
LEN
DUK
ARL
PRCH
ODD
AORT
LUCY
ADD
TSAT
RIO
CDIOW
CENX
HBNC
IVA
LCNB
HON
GBAB
NOV
ANIX
PASG
SNGX
EDAP
CRDL
OLN
IGA
FUNC
OGI
NNAVW
KELYA
WSR
CDT
PAA
CCSI
SYNA
GDL
OMCC
TLSIW
DISTW
NWL
ALKS
KVYO
ELME
OCS
PLTR
VCTR
ALZN
VICI
STFS
CTRA
EBON
MSM
HTOOW
SMMT
TPVG
SRRK
POWW
TTAN
TGLS
RACE
ICHR
JACK
MRCC
VECO
WNS
TACT
VSEE
GBX
DRRX
CRBP
OR
PRIM
FRHC
INHD
MSI
VAC
VTGN
QNTM
AURA
CEP
MATW
BEP
BON
AREB
AAPG
ERII
OESX
ZEUS
VYNE
NURO
SEATW
KTB
CHSN
NIC
PG
CMRE
VANI
FSI
HHS
ISRLW
MCD
USEA
ACET
HGV
PLTK
ALT
TEVA
FGFPP
PZC
FLR
WM
RNA
DRDB
NBY
ICCM
LSBPW
FBYD
ERH
PAYS
VGAS
DECAW
ELTX
CMBM
PSF
AUNA
TDOC
NUE
CPF
CION
MCB
WY
AXON
AAMI
SNEX
CARM
RMM
DLHC
